Unnamed: 0;time pair;Developmental stage;tau_a;Found apoptotic ratio;Target apoptotic range
0;E3.5 --> E4.5;Pre-gastrulation;0.99;0.1419;10-15%
1;E4.5 --> E5.25;Pre-gastrulation;0.98;0.1436;10-15%
2;E5.25 --> E5.5;Pre-gastrulation;0.99;0.1190;10-15%
3;E5.5 --> E6.25;Pre-gastrulation;0.92;0.1169;10-15%
4;E6.25 --> E6.5;Pre-gastrulation;0.95;0.1462;10-15%
5;E6.5 --> E6.75;Gastrulation;0.9;0.0577;4-6%
6;E6.75 --> E7.0;Gastrulation;0.3;0.0428;4-6%
7;E7.0 --> E7.25;Gastrulation;0.65;0.0522;4-6%
8;E7.25 --> E7.5;Gastrulation;0.9;0.0474;4-6%
9;E7.5 --> E7.75;Gastrulation;0.82;0.0539;4-6%
10;E7.75 --> E8.0;Gastrulation;0.93;0.0582;4-6%
11;E8.0 --> E8.25;Gastrulation;0.97;0.0451;4-6%
12;E8.25 --> E8.5a;Gastrulation;0.96;0.0424;4-6%
13;E8.5a --> E8.5b;Organogenesis;0.99;0.2365;-
14;E8.5b --> E9.5;Organogenesis;0.98;0.0318;2-4%
15;E9.5 --> E10.5;Organogenesis;0.68;0.0218;2-4%
16;E10.5 --> E11.5;Organogenesis;0.8;0.0265;2-4%
17;E11.5 --> E12.5;Organogenesis;0.9;0.0227;2-4%
18;E12.5 --> E13.5;Organogenesis;0.9;0.0215;2-4%
