Node_type;Gene;GEX_celltype_Log2FC_Delta;GEX_celltype_Log2FC_Epsprogenitors;GEX_celltype_Log2FC_Epsilon;GEX_celltype_Log2FC_Fev+Delta;GEX_celltype_Log2FC_Ngn3high;Region;Gene_signature_name
Gene;Notum;-3.9596727;1.9695071;-1.2905886;0.1315715;2.606797;chr11:120695373-120696146;Neurod2_+_(303g)
Gene;Notum;-3.9596727;1.9695071;-1.2905886;0.1315715;2.606797;chr11:120698844-120699707;Neurod2_+_(303g)
Gene;Notum;-3.9596727;1.9695071;-1.2905886;0.1315715;2.606797;chr11:120667691-120668447;Neurod2_+_(303g)
Gene;Notum;-3.9596727;1.9695071;-1.2905886;0.1315715;2.606797;chr11:120666507-120667258;Neurod2_+_(303g)
Gene;Notum;-3.9596727;1.9695071;-1.2905886;0.1315715;2.606797;chr11:120665108-120665975;Neurod2_+_(303g)
Gene;Srl;-1.5076692;-0.13678084;-0.530565;0.22070183;1.2244806;chr16:4552682-4553490;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84532002-84532911;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84355529-84356439;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84282443-84283573;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84285223-84286143;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84469090-84470026;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84283807-84284572;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84507834-84508712;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84328603-84329537;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84570770-84571727;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84236779-84237573;Neurod2_+_(303g)
Gene;Shisal1;-1.4155449;0.9426966;0.17588276;0.53668624;1.5451002;chr15:84360500-84361470;Neurod2_+_(303g)
Gene;Stxbp1;-0.39614263;0.67610264;-0.17348303;-0.105816655;0.93265754;chr2:32808948-32809864;Neurod2_+_(303g)
Gene;Stxbp1;-0.39614263;0.67610264;-0.17348303;-0.105816655;0.93265754;chr2:32850364-32851205;Neurod2_+_(303g)
Gene;Stxbp1;-0.39614263;0.67610264;-0.17348303;-0.105816655;0.93265754;chr2:32823928-32824861;Neurod2_+_(303g)
Gene;Stxbp1;-0.39614263;0.67610264;-0.17348303;-0.105816655;0.93265754;chr2:32786946-32787920;Neurod2_+_(303g)
Gene;St6galnac2;-1.1465042;0.7361054;-0.7565149;0.51638114;1.2087055;chr11:116805186-116806040;Neurod2_+_(303g)
Gene;St6galnac2;-1.1465042;0.7361054;-0.7565149;0.51638114;1.2087055;chr11:116609915-116610856;Neurod2_+_(303g)
Gene;St6galnac2;-1.1465042;0.7361054;-0.7565149;0.51638114;1.2087055;chr11:116824876-116825696;Neurod2_+_(303g)
Gene;St6galnac2;-1.1465042;0.7361054;-0.7565149;0.51638114;1.2087055;chr11:116663705-116664791;Neurod2_+_(303g)
Gene;St6galnac2;-1.1465042;0.7361054;-0.7565149;0.51638114;1.2087055;chr11:116620983-116621930;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75812993-75813764;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75702929-75703878;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75869651-75870571;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75659223-75660151;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75876154-75877098;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75903257-75903990;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75939795-75940703;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75909524-75910367;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75866689-75867557;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75807308-75808239;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85327670-85328524;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85365445-85366351;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85655654-85656582;Neurod2_+_(303g)
