Unnamed: 0;time pair;Developmental stage;tau_a;Found apoptotic ratio - low rank;Target apoptotic range
0;E3.5 --> E4.5;Pre-gastrulation;0.33;0.1437;10-15%
1;E4.5 --> E5.25;Pre-gastrulation;0.2;0.1427;10-15%
2;E5.25 --> E5.5;Pre-gastrulation;0.34;0.1215;10-15%
3;E5.5 --> E6.25;Pre-gastrulation;0.062;0.1313;10-15%
4;E6.25 --> E6.5;Pre-gastrulation;0.215;0.1295;10-15%
5;E6.5 --> E6.75;Gastrulation;0.12;0.0528;4-6%
6;E6.75 --> E7.0;Gastrulation;0.07;0.0486;4-6%
7;E7.0 --> E7.25;Gastrulation;0.065;0.0579;4-6%
8;E7.25 --> E7.5;Gastrulation;0.07;0.0566;4-6%
9;E7.5 --> E7.75;Gastrulation;0.077;0.0544;4-6%
10;E7.75 --> E8.0;Gastrulation;0.25;0.0522;4-6%
11;E8.0 --> E8.25;Gastrulation;0.65;0.0450;4-6%
12;E8.25 --> E8.5a;Gastrulation;0.16;0.0547;4-6%
13;E8.5a --> E8.5b;Organogenesis;0.5;0.1905;-
14;E8.5b --> E9.5;Organogenesis;0.22;0.0363;2-4%
15;E9.5 --> E10.5;Organogenesis;0.08;0.0317;2-4%
16;E10.5 --> E11.5;Organogenesis;0.15;0.0250;2-4%
17;E11.5 --> E12.5;Organogenesis;0.15;0.0211;2-4%
18;E12.5 --> E13.5;Organogenesis;0.12;0.0390;2-4%
